timestamp,amount,user_id,country,channel,merchant_category,is_fraud,event_type,hour,day,weekday,amount_scaled
2024-01-03 16:15:00,44.02,1422,FR,app,travel,0,transaction,16,3,2,0.08288657425135944
2024-01-24 05:14:00,85.59,1612,AT,pos,electronics,0,transaction,5,24,2,0.1624798958413112
2024-01-20 15:17:00,76.67,1750,GB,web,fashion,0,transaction,15,20,5,0.1454009343647086
2024-01-14 03:59:00,129.83,1753,FR,app,electronics,0,transaction,3,14,6,0.24718541778356443
2024-01-13 23:46:00,32.56,1339,PL,pos,travel,0,transaction,23,13,5,0.060944321053840865
2024-01-26 18:11:00,59.45,1936,FR,web,other,0,transaction,18,26,4,0.1124301141150341
2024-01-03 13:52:00,115.39,1083,DE,app,travel,0,transaction,13,3,2,0.21953741288197903
2024-01-21 22:06:00,18.43,1116,US,app,grocery,0,transaction,22,21,6,0.033889867504020836
2024-01-07 01:03:00,140.4,1024,DE,web,grocery,0,transaction,1,7,6,0.2674236041969825
2024-01-03 19:48:00,131.15,1926,DE,app,travel,0,transaction,19,3,2,0.24971279773301683
2024-01-16 19:03:00,106.58,1180,FR,web,gaming,0,transaction,19,16,1,0.20266906640116414
2024-01-30 06:26:00,128.74,1601,NL,web,other,0,transaction,6,30,1,0.2450984146434863
2024-01-23 01:44:00,55.89,1812,CH,app,grocery,0,transaction,1,23,1,0.10561384697863216
2024-01-23 20:01:00,219.93,1766,DE,pos,gaming,0,transaction,20,23,1,0.4196982461514897
2024-01-22 12:35:00,200.28,1948,CH,app,electronics,0,transaction,12,22,0,0.3820747491766869
2024-01-24 13:57:00,108.24,1053,AT,web,travel,0,transaction,13,24,2,0.20584743815577852
2024-01-16 09:31:00,91.4,1407,DE,web,travel,0,transaction,9,16,1,0.17360419698246154
2024-01-04 20:14:00,148.62,1506,IT,web,electronics,0,transaction,20,4,3,0.2831622884276634
2024-01-26 04:37:00,44.57,1696,DE,web,grocery,0,transaction,4,26,4,0.08393964923029794
2024-01-14 12:16:00,131.31,1622,AT,web,grocery,0,transaction,12,14,6,0.25001914681779897
2024-01-16 00:15:00,107.28,1559,NL,pos,gaming,0,transaction,0,16,1,0.20400934364708587
2024-01-12 02:58:00,61.4,1306,PL,pos,electronics,0,transaction,2,12,4,0.11616374358581605
2024-01-06 11:26:00,110.26,1106,AT,pos,electronics,0,transaction,11,6,5,0.20971509535115268
2024-01-28 19:16:00,215.41,1431,CH,app,grocery,0,transaction,19,28,6,0.4110438845063951
2024-01-24 10:43:00,15.65,1259,AT,web,grocery,0,transaction,10,24,2,0.028567052155931687
2024-01-20 07:34:00,33.27,1554,GB,web,grocery,0,transaction,7,20,5,0.06230374511756147
2024-01-13 01:44:00,66.88,1797,DE,app,travel,0,transaction,1,13,5,0.1266561997396033
